Title,Company,Location,Description
אבטחת קניונים במרכז הארץ - עבודה קלילה!,JOBS Ai,מספר מקומות,לחברת אבטחה מובילה דרושים לאבטחת קניונים   1.בני 21 ומעלה ללא עבר פלילי  2.יציאה לקורס 4 י...
שומרים ללובי באיזור המרכז - אפשרות ללמוד בעמדה!,JOBS Ai,מספר מקומות,*בני 21 ומעלה   *יכולת לעבודה משמרות 24/7  *יכולת לעבודה לילה בוקר צהוריים (משמרות משתנות)...
נציגי/ות קשרי לקוחות ללא מכירות! פריסה ארצית!,JOBS Ai,מספר מקומות,דרושים/ות נציגי/ות קשרי לקוחות!    למוקד שירותי בריאות של קופת חולים מובילה.    סביבת עבוד...
נציגים/ות לצוות קשרי לקוחות - ים פינוקים והטבות!,JOBS Ai,מספר מקומות,למוקד מהמם בתחום הבריאות דרושים /ות נציגים /ות אלופים /ות לצוות קשרי לקוחות! תנאים מעולים ...
דרושים/ות מאבטחים/ות למוסדות חינוך בבית שמש,"רשף ביטחון בע""מ","בית שמש
                    |",למוסדות חינוך בבית שמש   דרושים/ות מאבטחים/ות  ***מתאים לסטודנטים/ות + פנסיונרים/ות  שכר ש...
מאבטחים/ות למוסדות החינוך במודיעין-תנאים מעולים!,"רשף ביטחון בע""מ","מודיעין-מכבים-רעות
                    |",מחפש/ת עבודה במודיעין ? החל הגיוס למוסדות החינוך במודיעין  *  שכר טוב למתאימים/ות --- 43 ש...
נהג משאית 15 טון לחיפה- מענק 10K,UPS,"חיפה
                    |","נהג/ת משאית עם רישיון 15 טון - מענק התמדה 10K!  עובד חברה מהיום הראשון, סל רווחה עשיר, תנא..."
סדרנים/יות/ קופאים/יות- שכר מעולה! לראשון לציון,טסה שוקולד,"ראשון לציון
                    |","רשת חנויות טסה שוקולד מגייסים  - סדרנים/יות ו/או קופאים/יות!  התפקיד כולל:  סידור מדפים, ע..."
מנהל/ת קונדיטוריה ופטיסרי בהרצליה– התחלתי 65₪!,JOB SPACE,מספר מקומות,הזדמנות לעבודה עם שכר גבוה מאוד בניהול במסעדנות!!  הצטרפו למשפחה שלנו בתחום המסעדנות ותיהנ...
דרושים יועצי משכנתא שכירים / פרילנסרים,- חסוי -,"תל אביב
                    |",דרושים יועצי משכנתא שכירים / פרילנסרים  מוקד מכירות חדש מחפש אנשים טובים שיצטרפו למשפחה  ש...
רשת קרפור מחפשת עובדים/ות למגוון תפקידים בבאר שבע,Carrefour Israel,"באר שבע
                    |",לרשת קרפור שנחתה היישר מצרפת דרושים/ות עובדים/ות במגוון תפקידים לסניף החדש בבאר שבע :  קופ...
עוזר/ת עבודות גינון - עבודה קבועה ותנאים טובים!,מימדיון,"תל אביב
                    |",לפארק המים המימדיון דרוש/ה עוזר/ת גנן מוסמך/ת לעבודת טיפוח הגנים בפארק.  תנאים טובים עבודה...
"נציג/ת מכירות לרשת iStore בת""א- תנאים מעולים",iStore- המשווקת הרישמית של Apple בישראל,"תל אביב
                    |","רשת iStore, המשווקת הרשמית של מוצרי Apple בישראל, מזמינה אתכם להצטרף לצוות יועצי המכירות  ..."
דרוש/ה שף/עוזר שף לאולם ארועים בוטיק,- חסוי -,"ראשון לציון
                    |",לאולם ארועים בוטיק בראשון לציון דרוש/ה שף/עוזר שף.  העבודה במשרה מלאה בימי א' - ו'  ללא שב...
סוכנים.ות  עצמאיים לעבודה מהבית – גם ללא ניסיון!,JOBS Ai,מספר מקומות,דרושים סוכני/ות נסיעות עצמאיים לעבודה מהבית – גם ללא ניסיון!    אוהבים לטייל? חולמים לשלב ...
דרושים מלצרים חדשים שיצטרפו למשפחה- 70₪++,JOB SPACE,מספר מקומות,הצטרפו לצוות מסעדה מצליח עם אווירה משפחתית ועבודה מגוונת!  - מיקום: חולון  תיאור המשרה:  –...
"נציגי מכירות טלפוניות - ממוצע 60-70 ש""ח לשעה!",JOBS Ai,מספר מקומות,"- עבודה בשעות נוחות!! 9:00-15:00  - ימי א'-ה  - שכר גבוהים בשוק!! ממוצע שכר 60-70 ש""ח לשעה..."
דרושים אנשי שירות לקוחות באשדוד- שכר אש!!,JOB SPACE,מספר מקומות,הזדמנות להכנס לחברה גדולה ומצליחה באשדוד!!  איך ייראה היום שלך?  – שיחות נכנסות ומתן מענה ...
נהגי הסעות/מוניות/אוטובוסים - תנאים מצויינים,"אבירם פתרונות תחבורה בע""מ","הרצליה
                    |","לחברת הסעות באיזור השרון דרושים/ות נהגי הסעות אחראים ורציניים לאזור שרון  וצפון ת""א  עם רי..."
נציג/ת שירות לקוחות מוקד פנסיה וגמל - רמת גן,"מנורה מבטחים בע""מ","רמת גן
                    |","מענק התמדה של עד 8000 ש""ח **בכפוף לתקנון   הזדמנות לפתח קריירה בעולם הביטוח   תנאים מעולים..."
דרוש/ה מחסנאי/ת,י.א לוגיסטיקל,"בית שמש
                    |",לוגיסטיקל מגייסת עבור חברת אופנה מובילה ומחפשת אתכם/ן!  מה בתפקיד?  עבודה בעמדות אריזה ממו...
סדרנים/ות לדיוטי פרי- תנאים ושכר מעולים!,דיוטי פרי,מספר מקומות,סדרן/ית סחורה למחלקת התפעול    עבודה באווירה דינאמית עם שכר אטרקטיבי במיוחד   משרה מלאה במ...
מחסנאי/ת מעבדה לחברה בינלאומית  - שכר 9K + בונוס,UPS,"מודיעין-מכבים-רעות
                    |",למרכז הלוגיסטי המתקדם של חברת השילוח המובילה דרוש/ה מחסנאי/ת מעבדה לתפקיד מעניין עם אופק ק...
למרכז שירות איש דיאגנוסטיקה,- חסוי -,"חדרה
                    |","ביצוע בדיקות תקופתיות לרכבים.   אבחון תקלות ומציאת פתרונות.   הכנת דו""חות בדיקה מפורטים.  ..."
קופאי/ת תותח/ית! הרוויחו שכר גבוה ותנאים מצוינים!,דיוטי פרי,"נמל תעופה בן-גוריון
                    |","קופאים/ות למשרה באווירת חו""ל!    התפקיד כולל -  עבודה פרונטלית מול לקוחות   ביצוע חשבונות,..."
