Movie,Review,Rating
הצמה,"""הצמה | סרט מקסים ומרגש עד דמעות""",8/10
היורש,"""היורש |  אחד הסרטים הצרפתים היותר גרועים שראיתי""",No Rating
למה מלחמה,"""למה מלחמה | סרט חסר ערך""",No Rating
בייביגירל,"""בייביגירל |  המבקרת שקראה לניקול קידמן ""זקנה ג''ינג''ית גונחת"" ל...""",9/10
הטבעת,"""הטבעת | ציון 10 ואין מה להוסיף""",10/10
הנכס,"""הנכס | שחקנים מצויינים,רבקה מיכאלי מעולה""",No Rating
בייביגירל,"""בייביגירל | היו לי ציפיות מהסרט לאור הביקורות אבל התאכזבתי""",7/10
נוספרטו,"""נוספרטו |  סרט אימה גותי משובח, אבל לא מושלם""",8/10
בייביגירל,"""בייביגירל |  הסרט""",No Rating
הטבעת,"""הטבעת | סרט חזק ואיכותי,קליל וזורם ונותן חומר למחשבה גם אחרי""",10/10
