Name,Price,Rating,Categories
"מתקן מתלה קיר דביק למטבח לייבוש מעל לכיור, לאחסון ספוג וסבון ללא קידוח",₪149.00,4.06,"בית, כלי מטבח ואוכל, נוחות, סדר וניקיון"
מעמד מדף טלסקופי מעל למיקרוגל עם גובה ואורך מתכווננים לאחסון וארגון,₪399.00,4.29,"בית, כלי מטבח ואוכל, נוחות, סדר וניקיון"
"מצלמת גלאי דגים בעומק הים עם מסך 4.3 אינץ’, מצב לילה וסוללה נטענת",₪369.00,4.68,"אלקטרוניקה, טיולים, ספורט, פנאי"
תיק גב לקמפינג משולב כיסא מתקפל מובנה,₪199.00,4.63,"טיולים, נוחות"
משטח גירוד קמור רב תכליתי לחתולים למשחק ושינה,₪129.00,4.60,"בעלי חיים, פנאי"
"מחזיק בקבוק יין מדמה שפיכה מהפקק בצבעים לבן, אדום, ושחור",₪89.00,5.00,"בית, כלי מטבח ואוכל, פנאי"
מכשיר גלאי גז נייד לזיהוי מדויק של גזים דליקים עם אזעקת קול ואור עם רגישות מתכווננת,₪149.00,4.94,"אלקטרוניקה, כלי עבודה"
קוביית תאורת RGB מגנטית קומפקטית עם סוללה מובנית ואפקטים דינמיים לצילום מקצועי,₪219.00,4.66,"אלקטרוניקה, פנאי"
מראה בעיצוב לב נמס עם נורת ניאון לד ורודה מסביב,₪199.00,4.40,"בית, נשים"
משקפי שמש עגולים עם קליפס על האף בסגנון רטרו בלי מוטות לאוזניים,₪119.00,4.21,"גברים, נשים, פנאי"
"אקדח צעצוע עם קליעי ספוג רכים – מתכוונן במהירות, מושלם למשחקי חוץ ומתנה נהדרת",₪129.00,4.78,"ילדים, משחקים, פנאי"
מנורת ניאון LED בעיצוב דמות הגרינץ’ לחג המולד – לעיצוב אופנתי ולמסיבות חג,₪199.00,5.00,"אלקטרוניקה, בית, פנאי"
קופסת סיגריות מחומר חסין מים דחוי עור עם מצית אלקטרונית נטענת USB,₪129.00,4.54,"גברים, נשים, פנאי"
גריינדר מתכת נסתר בעיצוב סוללה,₪89.00,4.56,פנאי
מקרן אור כוכבים ואורות זוהר צפוני – תאורה צבעונית לקישוט חדר השינה והבית,₪125.00,4.93,"אלקטרוניקה, בית, ילדים, פנאי"
צעצוע אינטראקטיבי לחתולים 4 פינות עם חבל נמתח וחיה רצה לסימולציית ציד במגוון סגנונות,₪399.00,4.68,"בעלי חיים, פנאי"
מנורת ניאון לד מקורית לתלייה על הקיר בעיצוב נורת ‘CHECK ENGINE’ של רכבים,₪159.00,4.20,"בית, גברים, פנאי"
מסגרת תמונות עם חזית מגנטית נפתחת להחלפת ציורים ופוסטרים בקלות,₪129.00,3.97,"בית, פנאי"
