Title,Link,Topics,Messages
יועצים,https://example.com/categories/%D7%99%D7%95%D7%A2%D7%A6%D7%99%D7%9D.1513/,225.3K,1.5M
משפחה,https://example.com/categories/%D7%9E%D7%A9%D7%A4%D7%97%D7%94.1555/,52.9K,339.1K
דין ומשפט,https://example.com/categories/%D7%93%D7%99%D7%9F-%D7%95%D7%9E%D7%A9%D7%A4%D7%98.1567/,106.8K,400.4K
לייף סטייל,https://example.com/categories/%D7%9C%D7%99%D7%99%D7%A3-%D7%A1%D7%98%D7%99%D7%99%D7%9C.1595/,77.9K,532.9K
כלכלה,https://example.com/categories/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94.1617/,59.7K,204.6K
תיירות,https://example.com/categories/%D7%AA%D7%99%D7%99%D7%A8%D7%95%D7%AA.1629/,60.1K,415K
רפואה,https://example.com/categories/%D7%A8%D7%A4%D7%95%D7%90%D7%94.1662/,104.4K,519.2K
צרכנות,https://example.com/categories/%D7%A6%D7%A8%D7%9B%D7%A0%D7%95%D7%AA.1701/,22.9K,108.1K
אירועים,https://example.com/categories/%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D.1710/,20K,114.9K
מפלגות ותנועות,https://example.com/categories/%D7%9E%D7%A4%D7%9C%D7%92%D7%95%D7%AA-%D7%95%D7%AA%D7%A0%D7%95%D7%A2%D7%95%D7%AA.1212/,79.9K,726.8K
על סדר היום,https://example.com/categories/%D7%A2%D7%9C-%D7%A1%D7%93%D7%A8-%D7%94%D7%99%D7%95%D7%9D.1233/,547.8K,5.2M
עמותות וארגונים,https://example.com/categories/%D7%A2%D7%9E%D7%95%D7%AA%D7%95%D7%AA-%D7%95%D7%90%D7%A8%D7%92%D7%95%D7%A0%D7%99%D7%9D.1275/,41.6K,414.2K
בחירות 2015,https://example.com/categories/%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA-2015.1282/,11.6K,103.2K
המומלצים,https://example.com/forums/%D7%94%D7%9E%D7%95%D7%9E%D7%9C%D7%A6%D7%99%D7%9D.2693/,525,525
