Title,Link,Topics,Messages,usersActiveGrade,activityLevel
יועצים,/categories/%D7%99%D7%95%D7%A2%D7%A6%D7%99%D7%9D.1513/,225300.0,1500000.0,6.657789613848203,little activity
משפחה,/categories/%D7%9E%D7%A9%D7%A4%D7%97%D7%94.1555/,52900.0,339100.0,6.410207939508506,little activity
דין ומשפט,/categories/%D7%93%D7%99%D7%9F-%D7%95%D7%9E%D7%A9%D7%A4%D7%98.1567/,106800.0,400400.0,3.749063670411985,little activity
לייף סטייל,/categories/%D7%9C%D7%99%D7%99%D7%A3-%D7%A1%D7%98%D7%99%D7%99%D7%9C.1595/,77900.0,532900.0,6.840821566110398,little activity
כלכלה,/categories/%D7%9B%D7%9C%D7%9B%D7%9C%D7%94.1617/,59700.0,204600.0,3.4271356783919598,little activity
תיירות,/categories/%D7%AA%D7%99%D7%99%D7%A8%D7%95%D7%AA.1629/,60100.0,415000.0,6.9051580698835275,little activity
רפואה,/categories/%D7%A8%D7%A4%D7%95%D7%90%D7%94.1662/,104400.0,519200.00000000006,4.973180076628353,little activity
צרכנות,/categories/%D7%A6%D7%A8%D7%9B%D7%A0%D7%95%D7%AA.1701/,22900.0,108100.0,4.720524017467249,little activity
אירועים,/categories/%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D.1710/,20000.0,114900.0,5.745,little activity
מפלגות ותנועות,/categories/%D7%9E%D7%A4%D7%9C%D7%92%D7%95%D7%AA-%D7%95%D7%AA%D7%A0%D7%95%D7%A2%D7%95%D7%AA.1212/,79900.0,726800.0,9.096370463078848,medium activity
על סדר היום,/categories/%D7%A2%D7%9C-%D7%A1%D7%93%D7%A8-%D7%94%D7%99%D7%95%D7%9D.1233/,547800.0,5200000.0,9.492515516611903,medium activity
עמותות וארגונים,/categories/%D7%A2%D7%9E%D7%95%D7%AA%D7%95%D7%AA-%D7%95%D7%90%D7%A8%D7%92%D7%95%D7%A0%D7%99%D7%9D.1275/,41600.0,414200.0,9.95673076923077,medium activity
בחירות 2015,/categories/%D7%91%D7%97%D7%99%D7%A8%D7%95%D7%AA-2015.1282/,11600.0,103200.0,8.89655172413793,little activity
