Extracted_Product_Name,Name,Price,Link,Image_URL
קופסת,קופסת סיגריות מחומר חסין מים דחוי עור עם מצית אלקטרונית נטענת USB,129,https://lcp.co.il/product/%d7%a7%d7%95%d7%a4%d7%a1%d7%aa-%d7%a1%d7%99%d7%92%d7%a8%d7%99%d7%95%d7%aa-%d7%9e%d7%97%d7%95%d7%9e%d7%a8-%d7%97%d7%a1%d7%99%d7%9f-%d7%9e%d7%99%d7%9f-%d7%93%d7%97%d7%95%d7%99-%d7%a2%d7%95%d7%a8-%d7%a2/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
גריינדר,גריינדר מתכת נסתר בעיצוב סוללה,89,https://lcp.co.il/product/%d7%92%d7%a8%d7%99%d7%99%d7%a0%d7%93%d7%a8-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a0%d7%a1%d7%aa%d7%a8-%d7%91%d7%a2%d7%99%d7%a6%d7%95%d7%91-%d7%a1%d7%95%d7%9c%d7%9c%d7%94/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מקרן,מקרן אור כוכבים ואורות זוהר צפוני – תאורה צבעונית לקישוט חדר השינה והבית,125,https://lcp.co.il/product/%d7%9e%d7%a7%d7%a8%d7%9f-%d7%90%d7%95%d7%a8-%d7%9b%d7%95%d7%9b%d7%91%d7%99%d7%9d-%d7%95%d7%90%d7%95%d7%a8%d7%95%d7%aa-%d7%96%d7%95%d7%94%d7%a8-%d7%a6%d7%a4%d7%95%d7%a0%d7%99-%d7%aa%d7%90%d7%95%d7%a8/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
צעצוע,צעצוע אינטראקטיבי לחתולים 4 פינות עם חבל נמתח וחיה רצה לסימולציית ציד במגוון סגנונות,399,https://lcp.co.il/product/%d7%a6%d7%a2%d7%a6%d7%95%d7%a2-%d7%90%d7%99%d7%a0%d7%98%d7%a8%d7%90%d7%a7%d7%98%d7%99%d7%91%d7%99-%d7%9c%d7%97%d7%aa%d7%95%d7%9c%d7%99%d7%9d-4-%d7%a4%d7%99%d7%a0%d7%95%d7%aa-%d7%a2%d7%9d-%d7%97%d7%91/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מנורת,מנורת ניאון לד מקורית לתלייה על הקיר בעיצוב נורת ‘CHECK ENGINE’ של רכבים,159,https://lcp.co.il/product/%d7%9e%d7%a0%d7%95%d7%a8%d7%aa-%d7%a0%d7%99%d7%90%d7%95%d7%9f-%d7%9c%d7%93-%d7%9e%d7%a7%d7%95%d7%a8%d7%99%d7%aa-%d7%9c%d7%aa%d7%9c%d7%99%d7%99%d7%94-%d7%a2%d7%9c-%d7%94%d7%a7%d7%99%d7%a8-%d7%91%d7%a2/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מסגרת,מסגרת תמונות עם חזית מגנטית נפתחת להחלפת ציורים ופוסטרים בקלות,129,https://lcp.co.il/product/%d7%9e%d7%a1%d7%92%d7%a8%d7%aa-%d7%aa%d7%9e%d7%95%d7%a0%d7%95%d7%aa-%d7%a2%d7%9d-%d7%97%d7%96%d7%99%d7%aa-%d7%9e%d7%92%d7%a0%d7%98%d7%99%d7%aa-%d7%a0%d7%a4%d7%aa%d7%97%d7%aa-%d7%9c%d7%94%d7%97%d7%9c/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מחזיק,מחזיק טלפון עם 2 זרועות לד גמישות ו-3 מצבי תאורה לצילום עצמי ושידור חי מקצועיים,349,https://lcp.co.il/product/%d7%9e%d7%97%d7%96%d7%99%d7%a8-%d7%98%d7%9c%d7%a4%d7%95%d7%9f-%d7%a2%d7%9d-2-%d7%a4%d7%a0%d7%a1%d7%99-%d7%9c%d7%93-%d7%92%d7%9e%d7%99%d7%a9%d7%99%d7%9d-%d7%a2%d7%9d-2-%d7%96%d7%a8%d7%95%d7%a2%d7%95/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מפזר,"מפזר ריח ואדים עם טבעות עשן במראה של ספינת טיטאניק בנפח 250 מ”ל, לעיצוב הבית והפצת ארומה",219,https://lcp.co.il/product/%d7%9e%d7%a4%d7%96%d7%a8-%d7%a8%d7%99%d7%97-%d7%95%d7%90%d7%93%d7%99%d7%9d-%d7%a2%d7%9d-%d7%98%d7%91%d7%a2%d7%95%d7%aa-%d7%a2%d7%a9%d7%9f-%d7%91%d7%9e%d7%a8%d7%90%d7%94-%d7%a9%d7%9c-%d7%a1%d7%a4%d7%99/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מיטה,מיטה חמה ומפנקת לכלבים וחתולים בעיצוב נעל בית חורפית – מתקפלת ונשטפת בקלות,149,https://lcp.co.il/product/%d7%9e%d7%99%d7%98%d7%94-%d7%97%d7%9e%d7%94-%d7%95%d7%9e%d7%a4%d7%a0%d7%a7%d7%aa-%d7%9c%d7%9b%d7%9c%d7%91%d7%99%d7%9d-%d7%91%d7%a2%d7%99%d7%a6%d7%95%d7%91-%d7%a0%d7%a2%d7%9c-%d7%91%d7%99%d7%aa-%d7%97/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מיטה,מיטה חמה ומפנקת לכלבים וחתולים בעיצוב נעל בית חורפית – מתקפלת ונשטפת בקלות,219,https://lcp.co.il/product/%d7%9e%d7%99%d7%98%d7%94-%d7%97%d7%9e%d7%94-%d7%95%d7%9e%d7%a4%d7%a0%d7%a7%d7%aa-%d7%9c%d7%9b%d7%9c%d7%91%d7%99%d7%9d-%d7%91%d7%a2%d7%99%d7%a6%d7%95%d7%91-%d7%a0%d7%a2%d7%9c-%d7%91%d7%99%d7%aa-%d7%97/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
מחזיק,מחזיק מפתחות זנב שועל פרוותי ענק,85,https://lcp.co.il/product/%d7%9e%d7%97%d7%96%d7%99%d7%a7-%d7%9e%d7%a4%d7%aa%d7%97%d7%95%d7%aa-%d7%96%d7%a0%d7%91-%d7%a9%d7%95%d7%a2%d7%9c-%d7%a4%d7%a8%d7%95%d7%95%d7%aa%d7%99-%d7%a2%d7%a0%d7%a7/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
קרטון,קרטון רפלקטור מתקפל לצילום – לוח מחזיר אור עבה לצילום מקצועי,129,https://lcp.co.il/product/%d7%a7%d7%a8%d7%98%d7%95%d7%9f-%d7%a8%d7%a4%d7%9c%d7%a7%d7%98%d7%95%d7%a8-%d7%9e%d7%aa%d7%a7%d7%a4%d7%9c-%d7%9c%d7%a6%d7%99%d7%9c%d7%95%d7%9d-%d7%9c%d7%95%d7%97-%d7%9e%d7%97%d7%96%d7%99%d7%a8-%d7%90/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
קרטון,קרטון רפלקטור מתקפל לצילום – לוח מחזיר אור עבה לצילום מקצועי,149,https://lcp.co.il/product/%d7%a7%d7%a8%d7%98%d7%95%d7%9f-%d7%a8%d7%a4%d7%9c%d7%a7%d7%98%d7%95%d7%a8-%d7%9e%d7%aa%d7%a7%d7%a4%d7%9c-%d7%9c%d7%a6%d7%99%d7%9c%d7%95%d7%9d-%d7%9c%d7%95%d7%97-%d7%9e%d7%97%d7%96%d7%99%d7%a8-%d7%90/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
כרית,"כרית זיכרון עם תמיכה לשכיבה עם הפנים כלפי מטה – מושלמת למשרד, עיסויים וסלון יופי",129,https://lcp.co.il/product/%d7%9b%d7%a8%d7%99%d7%aa-%d7%96%d7%99%d7%9b%d7%a8%d7%95%d7%9f-%d7%a2%d7%9d-%d7%aa%d7%9e%d7%99%d7%9b%d7%94-%d7%9c%d7%a9%d7%9b%d7%99%d7%91%d7%94-%d7%a2%d7%9d-%d7%94%d7%a4%d7%a0%d7%99%d7%9d-%d7%9b%d7%9c/,https://lcpshop.net/wp-content/uploads/2020/10/loadern.gif
